Gene Names,Gene Names (primary),Reviewed,Organism,Protein ID
TP53,TP53,unreviewed,Homo sapiens (Human),A0A087WXZ1
EGLN1;C1orf12;PNAS-118;PNAS-137,EGLN1,reviewed,Homo sapiens (Human),Q9GZT9
Acan;Agc;Agc1,Acan,reviewed,Rattus norvegicus (Rat),P07897
SYNE1,SYNE1,unreviewed,Homo sapiens (Human),Q5JV20
Trp53rkb;Tp53rk;rCG_32142,Trp53rkb,unreviewed,Rattus norvegicus (Rat),D3ZCD7
Gng12;rCG_55333,Gng12,unreviewed,Rattus norvegicus (Rat),G3V6P8
ANXA6,ANXA6,unreviewed,Homo sapiens (Human),E5RI05
PTK2,PTK2,unreviewed,Homo sapiens (Human),E5RHD8
OSBPL9,OSBPL9,unreviewed,Homo sapiens (Human),H0YE19
CNOT1,CNOT1,unreviewed,Homo sapiens (Human),H3BVC9
NUP85,NUP85,unreviewed,Homo sapiens (Human),J3KTC7
MST1;hCG_2001992,MST1,unreviewed,Homo sapiens (Human),G3XAK1
ANK3,ANK3,unreviewed,Homo sapiens (Human),A0A087WVC2
MTSS2;MTSS1L,MTSS2,reviewed,Homo sapiens (Human),Q765P7
CASP8,CASP8,unreviewed,Homo sapiens (Human),E7EQ01
ALDH3A1,ALDH3A1,unreviewed,Homo sapiens (Human),I3L3I9
GRIPAP1;KIAA1167,GRIPAP1,reviewed,Homo sapiens (Human),Q4V328
PFAS,PFAS,unreviewed,Homo sapiens (Human),J3QSG0
TIMM23B,TIMM23B,reviewed,Homo sapiens (Human),Q5SRD1
ARHGEF2,ARHGEF2,unreviewed,Homo sapiens (Human),V9GZ14
RAB18,RAB18,reviewed,Homo sapiens (Human),Q9NP72
KATNB1,KATNB1,unreviewed,Homo sapiens (Human),H3BTU7
CDK17,CDK17,unreviewed,Homo sapiens (Human),F8VZY6
GNG10;GNGT10,GNG10,reviewed,Homo sapiens (Human),P50151
UBA3;UBE1C,UBA3,reviewed,Homo sapiens (Human),Q8TBC4
DVL2,DVL2,unreviewed,Homo sapiens (Human),I3L0Z8
SMURF2,SMURF2,unreviewed,Homo sapiens (Human),J3QRY2
STAT3,STAT3,unreviewed,Homo sapiens (Human),G8JLH9
EIF4B,EIF4B,unreviewed,Homo sapiens (Human),F8VX11
MFSD8,MFSD8,unreviewed,Homo sapiens (Human),A0A286YEX1
CDKN2AIP,CDKN2AIP,unreviewed,Homo sapiens (Human),J3KNE1
ATL3,ATL3,unreviewed,Homo sapiens (Human),F5H6I7
NCALD,NCALD,reviewed,Homo sapiens (Human),P61601
PRPSAP2,PRPSAP2,unreviewed,Homo sapiens (Human),C9JDU5
Serbp1;Pairbp1;Rda288,Serbp1,reviewed,Rattus norvegicus (Rat),Q6AXS5
SYNE2,SYNE2,unreviewed,Homo sapiens (Human),A0A0C4DGK3
Trdn,Trdn,unreviewed,Rattus norvegicus (Rat),F1LY11
KIAA1217,KIAA1217,unreviewed,Homo sapiens (Human),A0A0U1RRK8
AC126581.1,AC126581.1,unreviewed,Rattus norvegicus (Rat),A0A0G2K9E6
DIDO1;C20orf158;DATF1;KIAA0333,DIDO1,reviewed,Homo sapiens (Human),Q9BTC0
ECT2,ECT2,unreviewed,Homo sapiens (Human),C9J0L6
RPS3,RPS3,unreviewed,Homo sapiens (Human),E9PQ96
RTL8B;CXX1C;FAM127C;MAR8B,RTL8B,reviewed,Homo sapiens (Human),Q17RB0
Eci1;Dci,Eci1,reviewed,Rattus norvegicus (Rat),P23965
CTNNA1,CTNNA1,unreviewed,Homo sapiens (Human),E5RJL0
TRAPPC5,TRAPPC5,unreviewed,Homo sapiens (Human),M0QZQ8
TRMT13,TRMT13,unreviewed,Homo sapiens (Human),Q5VVL2
HPS6,HPS6,reviewed,Homo sapiens (Human),Q86YV9
DERL2,DERL2,unreviewed,Homo sapiens (Human),I3L0R8
TTLL12;KIAA0153,TTLL12,reviewed,Homo sapiens (Human),Q14166
Hnrnph1;Hnrph;Hnrph1,Hnrnph1,reviewed,Rattus norvegicus (Rat),Q8VHV7
STXBP2,STXBP2,unreviewed,Homo sapiens (Human),M0QZ54
BIVM,BIVM,reviewed,Homo sapiens (Human),Q86UB2
ATP6V1H,ATP6V1H,unreviewed,Homo sapiens (Human),E5RG49
GNA11,GNA11,unreviewed,Homo sapiens (Human),K7EL62
POLR1B,POLR1B,unreviewed,Homo sapiens (Human),F8WAK7
NDC80,NDC80,unreviewed,Homo sapiens (Human),I3L0P0
ZMYND8,ZMYND8,unreviewed,Homo sapiens (Human),A0A087WVZ6
PSD3;hCG_28251,PSD3,unreviewed,Homo sapiens (Human),B4DKF8
Armh3;C1H10orf76,Armh3,unreviewed,Rattus norvegicus (Rat),D3ZZE3
RAB11B;YPT3,RAB11B,reviewed,Homo sapiens (Human),Q15907
WASHC4,WASHC4,unreviewed,Homo sapiens (Human),A0A087X256
SRP9,SRP9,unreviewed,Homo sapiens (Human),E9PE20
Crtac1,Crtac1,unreviewed,Rattus norvegicus (Rat),A0A096MJM0
PXN,PXN,unreviewed,Homo sapiens (Human),A0A1B0GTU4
Hsd17b4;Edh17b4,Hsd17b4,reviewed,Rattus norvegicus (Rat),P97852
Vtn;rCG_34659,Vtn,unreviewed,Rattus norvegicus (Rat),Q3KR94
PIN4,PIN4,unreviewed,Homo sapiens (Human),A0A494C021
Ap1s2,Ap1s2,unreviewed,Rattus norvegicus (Rat),A0A0G2JXX9
P4HA2,P4HA2,unreviewed,Homo sapiens (Human),C9JFJ1
Gstm5,Gstm5,reviewed,Rattus norvegicus (Rat),Q9Z1B2
MDC1,MDC1,unreviewed,Homo sapiens (Human),A2AB06
COL6A6,COL6A6,reviewed,Homo sapiens (Human),A6NMZ7
ERGIC1;ERGIC32;KIAA1181;HT034,ERGIC1,reviewed,Homo sapiens (Human),Q969X5
CLTC;hCG_1818599,CLTC,unreviewed,Homo sapiens (Human),A0A087WVQ6
DHPS,DHPS,unreviewed,Homo sapiens (Human),M0QZT3
DYNC1I2;DNCI2;DNCIC2,DYNC1I2,reviewed,Homo sapiens (Human),Q13409
IDH3G,IDH3G,unreviewed,Homo sapiens (Human),H0Y5Q7
SLC25A22,SLC25A22,unreviewed,Homo sapiens (Human),E9PJY0
EIF3CL,EIF3CL,reviewed,Homo sapiens (Human),B5ME19
LARP7,LARP7,unreviewed,Homo sapiens (Human),D6RAF3
HNRNPF;HNRPF,HNRNPF,reviewed,Homo sapiens (Human),P52597
EIF2B2,EIF2B2,unreviewed,Homo sapiens (Human),H0YK01
HADHB,HADHB,unreviewed,Homo sapiens (Human),C9JE81
CELF2,CELF2,unreviewed,Homo sapiens (Human),V9GYD9
WDR18,WDR18,unreviewed,Homo sapiens (Human),A0A0A0MQU0
ADGRL2,ADGRL2,unreviewed,Homo sapiens (Human),H0Y5C0
RFC4,RFC4,unreviewed,Homo sapiens (Human),C9J8M3
ATP2C1,ATP2C1,unreviewed,Homo sapiens (Human),H0YAH2
LPCAT3;MBOAT5;OACT5,LPCAT3,reviewed,Homo sapiens (Human),Q6P1A2
Cap1;Cap;Mch1,Cap1,reviewed,Rattus norvegicus (Rat),Q08163
CEP290,CEP290,unreviewed,Homo sapiens (Human),F8VS29
Maged2;rCG_38930,Maged2,unreviewed,Rattus norvegicus (Rat),Q3B7U1
Caprin1;Gpiap1;Rng105,Caprin1,reviewed,Rattus norvegicus (Rat),Q5M9G3
RPL37A,RPL37A,unreviewed,Homo sapiens (Human),M0R2L6
ALG1;HMAT1;HMT1;PSEC0061;UNQ861/PRO1870,ALG1,reviewed,Homo sapiens (Human),Q9BT22
TOM1,TOM1,unreviewed,Homo sapiens (Human),F8WE29
CDKN2AIP,CDKN2AIP,unreviewed,Homo sapiens (Human),D6RGD2
PAX6,PAX6,unreviewed,Homo sapiens (Human),A0A1W2PS91
SHOC2;hCG_40725,SHOC2,unreviewed,Homo sapiens (Human),X6RI37
SLC4A2,SLC4A2,unreviewed,Homo sapiens (Human),C9J722
ATP6AP2,ATP6AP2,unreviewed,Homo sapiens (Human),A0A1B0GWD6
C18orf32,C18orf32,reviewed,Homo sapiens (Human),Q8TCD1
CHD1L,CHD1L,unreviewed,Homo sapiens (Human),A0A494C0M4
Stk39,Stk39,unreviewed,Rattus norvegicus (Rat),A0A0G2K007
SMDT1;C22orf32;EMRE,SMDT1,reviewed,Homo sapiens (Human),Q9H4I9
HARS2,HARS2,unreviewed,Homo sapiens (Human),A0A2R8Y6I1
PHAF1,PHAF1,unreviewed,Homo sapiens (Human),H3BRA5
FBP1,FBP1,unreviewed,Homo sapiens (Human),A0A3B3IUC7
Tbc1d2b;rCG_25969,Tbc1d2b,unreviewed,Rattus norvegicus (Rat),D3ZAF7
SAP30BP,SAP30BP,unreviewed,Homo sapiens (Human),J3QQJ0
COQ9,COQ9,unreviewed,Homo sapiens (Human),H3BPY0
PITPNA;PITPN,PITPNA,reviewed,Homo sapiens (Human),Q00169
CDC16,CDC16,unreviewed,Homo sapiens (Human),Q5T8C6
Gpd1l,Gpd1l,unreviewed,Rattus norvegicus (Rat),D3ZAP9
Igg-2a,Igg-2a,reviewed,Rattus norvegicus (Rat),P20760
C14orf119;My028,C14orf119,reviewed,Homo sapiens (Human),Q9NWQ9
SHBG,SHBG,unreviewed,Homo sapiens (Human),I3L1C1
KIF22;KID;KNSL4,KIF22,reviewed,Homo sapiens (Human),Q14807
NRP1,NRP1,unreviewed,Homo sapiens (Human),Q5JWQ6
KIF13A,KIF13A,unreviewed,Homo sapiens (Human),A0A1B0GUA8
FAM98C,FAM98C,reviewed,Homo sapiens (Human),Q17RN3
Timm8a2;rCG_37200,Timm8a2,unreviewed,Rattus norvegicus (Rat),D3ZV76
P4HB,P4HB,unreviewed,Homo sapiens (Human),I3L3P5
TKFC;DAK,TKFC,reviewed,Homo sapiens (Human),Q3LXA3
Slc1a6;Eaat4,Slc1a6,reviewed,Rattus norvegicus (Rat),O35921
MTCL1,MTCL1,unreviewed,Homo sapiens (Human),J3QL92
CPPED1;CSTP1,CPPED1,reviewed,Homo sapiens (Human),Q9BRF8
TRIM27;RFP;RNF76,TRIM27,reviewed,Homo sapiens (Human),P14373
SMAD2,SMAD2,unreviewed,Homo sapiens (Human),K7ERC7
TMEM184C,TMEM184C,unreviewed,Homo sapiens (Human),A0A0C4DGC8
SIRPB1,SIRPB1,reviewed,Homo sapiens (Human),Q5TFQ8
MPST;TST2,MPST,reviewed,Homo sapiens (Human),P25325
ATP5F1D;ATP5D,ATP5F1D,reviewed,Homo sapiens (Human),P30049
PDCD11;KIAA0185,PDCD11,reviewed,Homo sapiens (Human),Q14690
Rcn3,Rcn3,unreviewed,Rattus norvegicus (Rat),A0A0G2K022
SRP19;hCG_2040106,SRP19,unreviewed,Homo sapiens (Human),A0A2U3TZN1
WNT5B,WNT5B,unreviewed,Homo sapiens (Human),F5H364
G6pdx;G6pd,G6pdx,reviewed,Rattus norvegicus (Rat),P05370
WWOX,WWOX,unreviewed,Homo sapiens (Human),F5H3R5
Hint1;AABR07060778.1;Hint1-ps1,Hint1,unreviewed,Rattus norvegicus (Rat),D4A269
PMPCA,PMPCA,unreviewed,Homo sapiens (Human),Q5SXN9
,,unreviewed,Homo sapiens (Human),A0A2U3TZJ3
TXNDC12,TXNDC12,unreviewed,Homo sapiens (Human),V9GYV4
PSMD2,PSMD2,unreviewed,Homo sapiens (Human),F8WBS8
PTPRJ;DEP1,PTPRJ,reviewed,Homo sapiens (Human),Q12913
PCBP2,PCBP2,unreviewed,Homo sapiens (Human),H3BSP4
STARD3;CAB1;MLN64,STARD3,reviewed,Homo sapiens (Human),Q14849
Myh2;rCG_35174,Myh2,unreviewed,Rattus norvegicus (Rat),G3V6E1
Cnot1,Cnot1,unreviewed,Rattus norvegicus (Rat),G3V7M0
CTPS1;CTPS,CTPS1,reviewed,Homo sapiens (Human),P17812
PSG7,PSG7,unreviewed,Homo sapiens (Human),A0A096LNM5
GART,GART,unreviewed,Homo sapiens (Human),C9JZG2
GOLGB1,GOLGB1,reviewed,Homo sapiens (Human),Q14789
RFC2,RFC2,unreviewed,Homo sapiens (Human),H7C5Q7
WDR43,WDR43,unreviewed,Homo sapiens (Human),C9JEE7
CBS,CBS,unreviewed,Homo sapiens (Human),H7C2H4
SYK,SYK,reviewed,Homo sapiens (Human),P43405
Nfib;NF1-B;rCG_55296,Nfib,unreviewed,Rattus norvegicus (Rat),O70187
MBD3;hCG_22692,MBD3,unreviewed,Homo sapiens (Human),K7EIE8
MGAT1,MGAT1,unreviewed,Homo sapiens (Human),D6RF69
Prkar1a,Prkar1a,reviewed,Rattus norvegicus (Rat),P09456
RPS3A,RPS3A,unreviewed,Homo sapiens (Human),D6RED7
DLG1,DLG1,unreviewed,Homo sapiens (Human),A0A590UJ68
PRKAR1A,PRKAR1A,unreviewed,Homo sapiens (Human),K7EJ40
MAVS;IPS1;KIAA1271;VISA,MAVS,reviewed,Homo sapiens (Human),Q7Z434
UEVLD,UEVLD,unreviewed,Homo sapiens (Human),A8MYV4
ATP6AP1,ATP6AP1,unreviewed,Homo sapiens (Human),A0A0C4DGX8
FGFR1;BFGFR;CEK;FGFBR;FLG;FLT2;HBGFR,FGFR1,reviewed,Homo sapiens (Human),P11362
RGPD3,RGPD3,unreviewed,Homo sapiens (Human),J3KNE0
F11,F11,unreviewed,Homo sapiens (Human),X6R3B1
EEF2K,EEF2K,reviewed,Homo sapiens (Human),O00418
PDAP1;HASPP28,PDAP1,reviewed,Homo sapiens (Human),Q13442
RPL23,RPL23,reviewed,Homo sapiens (Human),P62829
SF3B1,SF3B1,unreviewed,Homo sapiens (Human),H7C341
SYNE1,SYNE1,unreviewed,Homo sapiens (Human),H0Y325
ARHGEF12,ARHGEF12,unreviewed,Homo sapiens (Human),E9PMR6
USP10;KIAA0190,USP10,reviewed,Homo sapiens (Human),Q14694
Klc3,Klc3,reviewed,Rattus norvegicus (Rat),Q68G30
SLC25A22;GC1,SLC25A22,reviewed,Homo sapiens (Human),Q9H936
FRG1,FRG1,reviewed,Homo sapiens (Human),Q14331
TNFAIP3,TNFAIP3,unreviewed,Homo sapiens (Human),Q5VXQ9
CSRP2,CSRP2,unreviewed,Homo sapiens (Human),F8VQR7
Hist3h2ba;rCG_34360,Hist3h2ba,unreviewed,Rattus norvegicus (Rat),D3ZNZ9
GSTO1;GSTTLP28,GSTO1,reviewed,Homo sapiens (Human),P78417
CBWD5;CBWD3,CBWD5,unreviewed,Homo sapiens (Human),Q5RIB5
LACRT,LACRT,unreviewed,Homo sapiens (Human),F8W0V3
EIF4A1,EIF4A1,unreviewed,Homo sapiens (Human),J3KTN0
IMPDH2;IMPDH,IMPDH2,unreviewed,Homo sapiens (Human),H0Y4R1
Eif1ax;Eif1ay;RGD1560198_predicted;rCG_36351,Eif1ax,unreviewed,Rattus norvegicus (Rat),B5DF60
NEK6,NEK6,reviewed,Homo sapiens (Human),Q9HC98
Sh3gl1;Sh3p8,Sh3gl1,reviewed,Rattus norvegicus (Rat),O35964
UQCRC2,UQCRC2,unreviewed,Homo sapiens (Human),H3BSJ9
AIMP2,AIMP2,unreviewed,Homo sapiens (Human),A8MU58
BAG6,BAG6,unreviewed,Homo sapiens (Human),A0A0G2JK23
SLC39A11,SLC39A11,unreviewed,Homo sapiens (Human),J3QLA9
NEB,NEB,unreviewed,Homo sapiens (Human),H7C2B3
FCGR2A,FCGR2A,unreviewed,Homo sapiens (Human),F5GX41
LYZ,LYZ,unreviewed,Homo sapiens (Human),F8VV32
FAM234A,FAM234A,unreviewed,Homo sapiens (Human),H7C3L6
MSH2,MSH2,unreviewed,Homo sapiens (Human),A0A2R8YFH0
EMC4;TMEM85;HSPC184;PIG17,EMC4,reviewed,Homo sapiens (Human),Q5J8M3
MECP2,MECP2,unreviewed,Homo sapiens (Human),B5MCB4
SHISA2;C13orf13;TMEM46;UNQ9166/PRO28631,SHISA2,reviewed,Homo sapiens (Human),Q6UWI4
MECP2,MECP2,unreviewed,Homo sapiens (Human),I6LM39
PARP10,PARP10,unreviewed,Homo sapiens (Human),E9PIK9
CNOT2,CNOT2,unreviewed,Homo sapiens (Human),F8VUB4
Clcn5,Clcn5,reviewed,Rattus norvegicus (Rat),P51796
SEC31A,SEC31A,unreviewed,Homo sapiens (Human),H0Y9K1
PRKAR1A,PRKAR1A,unreviewed,Homo sapiens (Human),K7EPR5
NCAPG;CAPG;NYMEL3,NCAPG,reviewed,Homo sapiens (Human),Q9BPX3
WDR5,WDR5,unreviewed,Homo sapiens (Human),V9GYQ5
Lsm4;LSM4;Lsm4_predicted;rCG_38869,Lsm4,unreviewed,Rattus norvegicus (Rat),D4A2C6
MAOB,MAOB,reviewed,Homo sapiens (Human),P27338
ABR,ABR,reviewed,Homo sapiens (Human),Q12979
Ccdc136,Ccdc136,unreviewed,Rattus norvegicus (Rat),D4AAR7
ATP5F1A,ATP5F1A,unreviewed,Homo sapiens (Human),K7EQH4
CCDC92,CCDC92,unreviewed,Homo sapiens (Human),F5H2Z7
Igf1r,Igf1r,unreviewed,Rattus norvegicus (Rat),A0A140TAB8
ITGA3,ITGA3,unreviewed,Homo sapiens (Human),H0YA49
GSKIP,GSKIP,unreviewed,Homo sapiens (Human),G3V368
Htra2;rCG_56292,Htra2,unreviewed,Rattus norvegicus (Rat),B0BNB9
CACTIN;C19orf29,CACTIN,reviewed,Homo sapiens (Human),Q8WUQ7
GNAI3,GNAI3,reviewed,Homo sapiens (Human),P08754
TMED10;TMP21,TMED10,reviewed,Homo sapiens (Human),P49755
ZC3H14,ZC3H14,unreviewed,Homo sapiens (Human),A0A3B3IT62
YME1L1;FTSH1;YME1L;UNQ1868/PRO4304,YME1L1,reviewed,Homo sapiens (Human),Q96TA2
GNPNAT1;GNA1,GNPNAT1,reviewed,Homo sapiens (Human),Q96EK6
PDP1,PDP1,unreviewed,Homo sapiens (Human),E5RIV4
SMARCAD1,SMARCAD1,unreviewed,Homo sapiens (Human),F8W9M2
GATAD2B,GATAD2B,unreviewed,Homo sapiens (Human),A0A0U1RRK3
TUBGCP2,TUBGCP2,unreviewed,Homo sapiens (Human),F2Z2B9
AKT2,AKT2,unreviewed,Homo sapiens (Human),J3QKW1
ORM2;AGP2,ORM2,reviewed,Homo sapiens (Human),P19652
MRPL43,MRPL43,unreviewed,Homo sapiens (Human),M0R051
TMEM201,TMEM201,unreviewed,Homo sapiens (Human),H0Y4R5
Rp2;Rp2h_predicted;rCG_42850,Rp2,unreviewed,Rattus norvegicus (Rat),D3ZTJ0
IRAK1,IRAK1,unreviewed,Homo sapiens (Human),H7C3C1
RIC8A,RIC8A,unreviewed,Homo sapiens (Human),H0YC88
POLR2J3,POLR2J3,unreviewed,Homo sapiens (Human),E2QRJ6
PFDN6;HKE2;PFD6,PFDN6,reviewed,Homo sapiens (Human),O15212
RUFY2,RUFY2,unreviewed,Homo sapiens (Human),H0YD93
Slc25a15,Slc25a15,unreviewed,Rattus norvegicus (Rat),Q7TPA1
TMEM184B;C22orf5;PSEC0108,TMEM184B,reviewed,Homo sapiens (Human),Q9Y519
ARMC9;KIAA1868,ARMC9,reviewed,Homo sapiens (Human),Q7Z3E5
PAK1,PAK1,reviewed,Homo sapiens (Human),Q13153
Ccdc38,Ccdc38,unreviewed,Rattus norvegicus (Rat),F1LUB9
CCDC43,CCDC43,unreviewed,Homo sapiens (Human),K7ER24
PIK3R2,PIK3R2,unreviewed,Homo sapiens (Human),A0A5F9ZHY3
UBE2L5,UBE2L5,reviewed,Homo sapiens (Human),A0A1B0GUS4
CHGA,CHGA,reviewed,Homo sapiens (Human),P10645
WIPI1,WIPI1,unreviewed,Homo sapiens (Human),K7EK57
CTNNA1,CTNNA1,unreviewed,Homo sapiens (Human),E5RGS1
Myh4;Myh2,Myh4,unreviewed,Rattus norvegicus (Rat),F1LMU0
DDX52;ROK1;HUSSY-19,DDX52,reviewed,Homo sapiens (Human),Q9Y2R4
EI24,EI24,unreviewed,Homo sapiens (Human),E9PS58
CR1,CR1,unreviewed,Homo sapiens (Human),E9PQN4
ATP5IF1,ATP5IF1,unreviewed,Homo sapiens (Human),A0A0B4J230
MCU,MCU,unreviewed,Homo sapiens (Human),S4R3F5
XPA;XPAC,XPA,reviewed,Homo sapiens (Human),P23025
TOMM40,TOMM40,unreviewed,Homo sapiens (Human),K7EJ57
OASL;TRIP14,OASL,reviewed,Homo sapiens (Human),Q15646
PAPOLA,PAPOLA,unreviewed,Homo sapiens (Human),G3V3I9
TRIM59,TRIM59,unreviewed,Homo sapiens (Human),C9IY67
MPIG6B;C6orf25,MPIG6B,unreviewed,Homo sapiens (Human),B7ZLJ5
USP7,USP7,unreviewed,Homo sapiens (Human),H3BQD1
USP10,USP10,unreviewed,Homo sapiens (Human),J3KT19
EXO1,EXO1,unreviewed,Homo sapiens (Human),Q5T399
PCYT1A,PCYT1A,unreviewed,Homo sapiens (Human),C9JPY0
TAF1C,TAF1C,unreviewed,Homo sapiens (Human),H3BNH3
Fndc1;Ags8,Fndc1,reviewed,Rattus norvegicus (Rat),Q2Q0I9
HPRT1;HPRT,HPRT1,reviewed,Homo sapiens (Human),P00492
ANXA6,ANXA6,unreviewed,Homo sapiens (Human),H0YC77
PSMD4;MCB1,PSMD4,reviewed,Homo sapiens (Human),P55036
Satb2,Satb2,unreviewed,Rattus norvegicus (Rat),D3ZJ19
SMG8,SMG8,unreviewed,Homo sapiens (Human),J3QKP6
ABCF2;HUSSY-18,ABCF2,reviewed,Homo sapiens (Human),Q9UG63
Serpina3m,Serpina3m,reviewed,Rattus norvegicus (Rat),Q63556
BNC2,BNC2,unreviewed,Homo sapiens (Human),F5H586
Lrrc7,Lrrc7,unreviewed,Rattus norvegicus (Rat),F1LMG7
ZNF22;KOX15;KROX26,ZNF22,reviewed,Homo sapiens (Human),P17026
DMKN,DMKN,unreviewed,Homo sapiens (Human),C9J186
EFEMP2,EFEMP2,unreviewed,Homo sapiens (Human),E9PKA3
ZNF512B;KIAA1196,ZNF512B,reviewed,Homo sapiens (Human),Q96KM6
VPS13A;CHAC;KIAA0986,VPS13A,reviewed,Homo sapiens (Human),Q96RL7
IGHG3,IGHG3,reviewed,Homo sapiens (Human),P01860
CD44,CD44,unreviewed,Homo sapiens (Human),E9PKC6
Krt86;Kb26,Krt86,unreviewed,Rattus norvegicus (Rat),Q6IG10
SELENOF,SELENOF,unreviewed,Homo sapiens (Human),A8MZD0
MSN,MSN,reviewed,Homo sapiens (Human),P26038
TBCA,TBCA,unreviewed,Homo sapiens (Human),E5RHG6
Myoz1,Myoz1,unreviewed,Rattus norvegicus (Rat),A0A0G2JZ11
OSBP;OSBP1,OSBP,reviewed,Homo sapiens (Human),P22059
CIRBP,CIRBP,unreviewed,Homo sapiens (Human),K7ELV6
SLC45A2,SLC45A2,unreviewed,Homo sapiens (Human),D6RGY6
POLR2H,POLR2H,reviewed,Homo sapiens (Human),P52434
Yaf2,Yaf2,unreviewed,Rattus norvegicus (Rat),D3ZII7
SUOX,SUOX,unreviewed,Homo sapiens (Human),F8VX56
MVD,MVD,unreviewed,Homo sapiens (Human),H3BRZ1
MMAA,MMAA,reviewed,Homo sapiens (Human),Q8IVH4
Nt5dc3,Nt5dc3,unreviewed,Rattus norvegicus (Rat),D3ZAI6
MED29,MED29,unreviewed,Homo sapiens (Human),M0R0U2
ARID2,ARID2,unreviewed,Homo sapiens (Human),F8W108
WARS1,WARS1,unreviewed,Homo sapiens (Human),G3V339
PDXDC1,PDXDC1,unreviewed,Homo sapiens (Human),H3BM88
PPT1,PPT1,unreviewed,Homo sapiens (Human),A0A2C9F2P4
PRC1,PRC1,unreviewed,Homo sapiens (Human),H0YL53
PHGDH,PHGDH,unreviewed,Homo sapiens (Human),A0A286YFA2
Tbc1d31;Wdr67,Tbc1d31,unreviewed,Rattus norvegicus (Rat),D3ZTA2
Pgm3;Pgm3_predicted;rCG_25231,Pgm3,unreviewed,Rattus norvegicus (Rat),B2RYN0
NDRG2,NDRG2,unreviewed,Homo sapiens (Human),G3V383
CNN1,CNN1,unreviewed,Homo sapiens (Human),B7Z7E1
FAM184A,FAM184A,unreviewed,Homo sapiens (Human),A0A0C4DGZ2
GOSR2,GOSR2,unreviewed,Homo sapiens (Human),A0A1W2PRP7
RDH5,RDH5,unreviewed,Homo sapiens (Human),F8VVC7
ABI2;ARGBPIA,ABI2,reviewed,Homo sapiens (Human),Q9NYB9
SGTB;SGT2,SGTB,reviewed,Homo sapiens (Human),Q96EQ0
FAM234A,FAM234A,unreviewed,Homo sapiens (Human),C9JR71
HSPD1,HSPD1,unreviewed,Homo sapiens (Human),C9JL25
Kin;rCG_55865,Kin,unreviewed,Rattus norvegicus (Rat),D3ZRI6
TGFB1I1,TGFB1I1,unreviewed,Homo sapiens (Human),I3L209
CLGN,CLGN,unreviewed,Homo sapiens (Human),D6RAZ4
Kank2,Kank2,reviewed,Rattus norvegicus (Rat),D3ZD05
POLR2D,POLR2D,reviewed,Homo sapiens (Human),O15514
GRAMD1B,GRAMD1B,unreviewed,Homo sapiens (Human),A0A1B0GWG7
ELP2,ELP2,unreviewed,Homo sapiens (Human),K7ER35
COX4I1,COX4I1,unreviewed,Homo sapiens (Human),H3BNI5
RFC3,RFC3,reviewed,Homo sapiens (Human),P40938
PARVB,PARVB,unreviewed,Homo sapiens (Human),A0A087WZB5
Mup5;LOC120102889,Mup5,unreviewed,Rattus norvegicus (Rat),F1LQM1
MED12;ARC240;CAGH45;HOPA;KIAA0192;TNRC11;TRAP230,MED12,reviewed,Homo sapiens (Human),Q93074
Lypla2,Lypla2,reviewed,Rattus norvegicus (Rat),Q9QYL8
SLC2A2,SLC2A2,unreviewed,Homo sapiens (Human),C9J0E8
SHANK2,SHANK2,unreviewed,Homo sapiens (Human),A0A590UJ45
Acyp2;rCG_23240,Acyp2,unreviewed,Rattus norvegicus (Rat),D4A1G1
POLR1B,POLR1B,unreviewed,Homo sapiens (Human),C9JS83
CTNND2,CTNND2,unreviewed,Homo sapiens (Human),E9PHB5
Casp12,Casp12,unreviewed,Rattus norvegicus (Rat),F1LNW4
,,unreviewed,Homo sapiens (Human),E7EWF7
CNN2,CNN2,unreviewed,Homo sapiens (Human),A0A087X1X5
NCOR1,NCOR1,unreviewed,Homo sapiens (Human),J3KT44
HACD3,HACD3,unreviewed,Homo sapiens (Human),H3BS72
LOC120096281;AABR07040947.1,LOC120096281,unreviewed,Rattus norvegicus (Rat),F1M6C7
PAX6,PAX6,unreviewed,Homo sapiens (Human),A0A1W2PQG3
ATP6V1E1,ATP6V1E1,unreviewed,Homo sapiens (Human),C9J8H1
SNTB1,SNTB1,unreviewed,Homo sapiens (Human),E5RIX7
ATXN3,ATXN3,unreviewed,Homo sapiens (Human),G3V3A6
RAD51,RAD51,unreviewed,Homo sapiens (Human),E9PJ30
BUB1,BUB1,unreviewed,Homo sapiens (Human),C9JRC7
XXYLT1,XXYLT1,unreviewed,Homo sapiens (Human),H7C2F4
DHX35,DHX35,unreviewed,Homo sapiens (Human),Q5THR1
CMBL,CMBL,reviewed,Homo sapiens (Human),Q96DG6
RAP1GDS1,RAP1GDS1,unreviewed,Homo sapiens (Human),D6RHZ7
Hsd3b6,Hsd3b6,reviewed,Rattus norvegicus (Rat),Q62878
PHF1,PHF1,unreviewed,Homo sapiens (Human),E9PQT8
UACA,UACA,unreviewed,Homo sapiens (Human),H0YNH8
Washc1;Wash1;Wash2,Washc1,reviewed,Rattus norvegicus (Rat),B2RYF7
GNA14,GNA14,reviewed,Homo sapiens (Human),O95837
Limch1,Limch1,unreviewed,Rattus norvegicus (Rat),F1M392
PLG;hCG_2029799,PLG,unreviewed,Homo sapiens (Human),Q5TEH5
CARHSP1,CARHSP1,unreviewed,Homo sapiens (Human),I3L3X8
