Gene Name,Reduced Gene Name,Organism,Mode
NDUFA2,NDUFA2,rabbit,ensembl
KRT39,KRT39,rabbit,ensembl
SNX17,SNX17,rabbit,ensembl
FLNA,FLNA,rabbit,ensembl
SPOCK2,SPOCK2,rabbit,ensembl
RAB3GAP2,RAB3GAP2,rabbit,ensembl
ZMAT3,ZMAT3,rabbit,ensembl
AASS,AASS,rabbit,ensembl
S100A12,S100A12,rabbit,ensembl
ADD3,ADD3,rabbit,ensembl
FSIP2,FSIP2,rabbit,ensembl
HCFC2,HCFC2,rabbit,ensembl
UQCRC1,UQCRC1,rabbit,ensembl
PHIP,PHIP,rabbit,ensembl
AKAP9,AKAP9,rabbit,ensembl
HAUS5,HAUS5,rabbit,ensembl
SCYL2,SCYL2,rabbit,ensembl
PAPSS1,PAPSS1,rabbit,ensembl
CAB39,CAB39,rabbit,ensembl
ATP6V0B,ATP6V0B,rabbit,ensembl
BLM,BLM,rabbit,ensembl
PFN2,PFN2,rabbit,ensembl
GART,GART,rabbit,ensembl
PAF1,PAF1,rabbit,ensembl
DST,DST,rabbit,ensembl
SYT1,SYT1,rabbit,ensembl
ANKRD1,ANKRD1,rabbit,ensembl
MYG1,MYG1,rabbit,ensembl
DDX23,DDX23,rabbit,ensembl
MPHOSPH8,MPHOSPH8,rabbit,ensembl
DNAJA2,DNAJA2,rabbit,ensembl
ADGRB3,ADGRB3,rabbit,ensembl
ERCC2,ERCC2,rabbit,ensembl
KIAA1755,KIAA1755,rabbit,ensembl
RBBP4,RBBP4,rabbit,ensembl
COL4A4,COL4A4,rabbit,ensembl
C2CD2,C2CD2,rabbit,ensembl
USP30,USP30,rabbit,ensembl
ATP6V0A1,ATP6V0A1,rabbit,ensembl
CADPS2,CADPS2,rabbit,ensembl
NR4A1,NR4A1,rabbit,ensembl
CDC7,CDC7,rabbit,ensembl
ITGA2B,ITGA2B,rabbit,ensembl
CLEC16A,CLEC16A,rabbit,ensembl
EHMT1,EHMT1,rabbit,ensembl
TIE1,TIE1,rabbit,ensembl
KCNF1,KCNF1,rabbit,ensembl
DOCK11,DOCK11,rabbit,ensembl
MKKS,MKKS,rabbit,ensembl
NOB1,NOB1,rabbit,ensembl
PRKAA2,PRKAA2,rabbit,ensembl
EPGN,EPGN,rabbit,ensembl
DLG4,DLG4,rabbit,ensembl
SNTA1,SNTA1,rabbit,ensembl
KIF23,KIF23,rabbit,ensembl
MAGEE2,MAGEE2,rabbit,ensembl
JADE2,JADE2,rabbit,ensembl
PRAM1,PRAM1,rabbit,ensembl
HSBP1,HSBP1,rabbit,ensembl
ACAP2,ACAP2,rabbit,ensembl
NIPBL,NIPBL,rabbit,ensembl
SNAP91,SNAP91,rabbit,ensembl
KARS1,KARS1,rabbit,ensembl
MAP2K3,MAP2K3,rabbit,ensembl
DNAH1,DNAH1,rabbit,ensembl
ADAM28,ADAM28,rabbit,ensembl
UBFD1,UBFD1,rabbit,ensembl
DOCK8,DOCK8,rabbit,ensembl
CCDC125,CCDC125,rabbit,ensembl
FOCAD,FOCAD,rabbit,ensembl
GPX8,GPX8,rabbit,ensembl
ITGAE,ITGAE,rabbit,ensembl
PYCARD,PYCARD,rabbit,ensembl
MAP3K12,MAP3K12,rabbit,ensembl
NUDT13,NUDT13,rabbit,ensembl
PCYOX1,PCYOX1,rabbit,ensembl
XKR9,XKR9,rabbit,ensembl
NHSL2,NHSL2,rabbit,ensembl
ADSL,ADSL,rabbit,ensembl
CENPJ,CENPJ,rabbit,ensembl
LAMA2,LAMA2,rabbit,ensembl
ATP8A2,ATP8A2,rabbit,ensembl
TANGO2,TANGO2,rabbit,ensembl
C12orf57,C12orf57,rabbit,ensembl
CNTN1,CNTN1,rabbit,ensembl
EXOSC2,EXOSC2,rabbit,ensembl
IPO7,IPO7,rabbit,ensembl
GAK,GAK,rabbit,ensembl
RYK,RYK,rabbit,ensembl
SSR3,SSR3,rabbit,ensembl
HDHD5,HDHD5,rabbit,ensembl
ATP2A1,ATP2A1,rabbit,ensembl
ANXA7,ANXA7,rabbit,ensembl
EMD,EMD,rabbit,ensembl
CUL2,CUL2,rabbit,ensembl
MINK1,MINK1,rabbit,ensembl
LIMA1,LIMA1,rabbit,ensembl
PRKCD,PRKCD,rabbit,ensembl
BAZ1A,BAZ1A,rabbit,ensembl
NLE1,NLE1,rabbit,ensembl
VTCN1,VTCN1,rabbit,ensembl
LRRD1,LRRD1,rabbit,ensembl
NAPB,NAPB,rabbit,ensembl
PPP2R2A,PPP2R2A,rabbit,ensembl
RHBDD2,RHBDD2,rabbit,ensembl
WNK4,WNK4,rabbit,ensembl
GORASP1,GORASP1,rabbit,ensembl
SEPTIN2,SEPTIN2,rabbit,ensembl
CLEC5A,CLEC5A,rabbit,ensembl
PSMB11,PSMB11,rabbit,ensembl
CHSY1,CHSY1,rabbit,ensembl
KIF17,KIF17,rabbit,ensembl
CD74,CD74,rabbit,ensembl
MCM3,MCM3,rabbit,ensembl
ARHGEF17,ARHGEF17,rabbit,ensembl
RSL1D1,RSL1D1,rabbit,ensembl
RUFY4,RUFY4,rabbit,ensembl
BRD8,BRD8,rabbit,ensembl
GGCX,GGCX,rabbit,ensembl
TRAPPC9,TRAPPC9,rabbit,ensembl
KRAS,KRAS,rabbit,ensembl
MPG,MPG,rabbit,ensembl
OARD1,OARD1,rabbit,ensembl
ATP6V0D1,ATP6V0D1,rabbit,ensembl
FAM193A,FAM193A,rabbit,ensembl
RHOG,RHOG,rabbit,ensembl
RADX,RADX,rabbit,ensembl
MBP,MBP,rabbit,ensembl
HELB,HELB,rabbit,ensembl
RECQL,RECQL,rabbit,ensembl
MST1,MST1,rabbit,ensembl
RPS5,RPS5,rabbit,ensembl
STAR,STAR,rabbit,ensembl
AP2A1,AP2A1,rabbit,ensembl
KRT34,KRT34,rabbit,ensembl
PTRHD1,PTRHD1,rabbit,ensembl
ELMO3,ELMO3,rabbit,ensembl
BPNT2,BPNT2,rabbit,ensembl
NCOA6,NCOA6,rabbit,ensembl
CCDC30,CCDC30,rabbit,ensembl
TUBA1C,TUBA1C,rabbit,ensembl
NPTN,NPTN,rabbit,ensembl
SHBG,SHBG,rabbit,ensembl
KIF3B,KIF3B,rabbit,ensembl
GRIA1,GRIA1,rabbit,ensembl
SPATS2L,SPATS2L,rabbit,ensembl
KANSL1L,KANSL1L,rabbit,ensembl
SMO,SMO,rabbit,ensembl
BRMS1L,BRMS1L,rabbit,ensembl
EXOSC8,EXOSC8,rabbit,ensembl
EGFLAM,EGFLAM,rabbit,ensembl
TIMMDC1,TIMMDC1,rabbit,ensembl
CMTR1,CMTR1,rabbit,ensembl
RFC1,RFC1,rabbit,ensembl
USP13,USP13,rabbit,ensembl
ATG7,ATG7,rabbit,ensembl
PKP1,PKP1,rabbit,ensembl
CWC27,CWC27,rabbit,ensembl
METTL9,METTL9,rabbit,ensembl
ARHGAP20,ARHGAP20,rabbit,ensembl
ILVBL,ILVBL,rabbit,ensembl
DHRS9,DHRS9,rabbit,ensembl
C1QTNF5,C1QTNF5,rabbit,ensembl
EPB41L2,EPB41L2,rabbit,ensembl
RLIM,RLIM,rabbit,ensembl
REXO2,REXO2,rabbit,ensembl
ABHD12,ABHD12,rabbit,ensembl
BAG3,BAG3,rabbit,ensembl
PLOD2,PLOD2,rabbit,ensembl
IAH1,IAH1,rabbit,ensembl
ORYCUNV1R1569,ORYCUNV1R1569,rabbit,ensembl
TAPBP,TAPBP,rabbit,ensembl
NPM1,NPM1,rabbit,ensembl
PSAT1,PSAT1,rabbit,ensembl
ENO3,ENO3,rabbit,ensembl
TRIM28,TRIM28,rabbit,ensembl
RAB23,RAB23,rabbit,ensembl
WDR43,WDR43,rabbit,ensembl
TM9SF3,TM9SF3,rabbit,ensembl
SPAG4,SPAG4,rabbit,ensembl
RIN3,RIN3,rabbit,ensembl
APPBP2,APPBP2,rabbit,ensembl
CDKL4,CDKL4,rabbit,ensembl
FEN1,FEN1,rabbit,ensembl
CALN1,CALN1,rabbit,ensembl
APIP,APIP,rabbit,ensembl
SRSF9,SRSF9,rabbit,ensembl
ZNF592,ZNF592,rabbit,ensembl
PER2,PER2,rabbit,ensembl
RGS22,RGS22,rabbit,ensembl
SMCHD1,SMCHD1,rabbit,ensembl
DNAJC19,DNAJC19,rabbit,ensembl
CSGALNACT1,CSGALNACT1,rabbit,ensembl
PASK,PASK,rabbit,ensembl
C8orf76,C8orf76,rabbit,ensembl
NUP50,NUP50,rabbit,ensembl
GCC2,GCC2,rabbit,ensembl
CACNA2D3,CACNA2D3,rabbit,ensembl
PLXNB1,PLXNB1,rabbit,ensembl
AKAP12,AKAP12,rabbit,ensembl
ETF1,ETF1,rabbit,ensembl
WDHD1,WDHD1,rabbit,ensembl
MGAT2,MGAT2,rabbit,ensembl
GLE1,GLE1,rabbit,ensembl
EHD4,EHD4,rabbit,ensembl
TEX37,TEX37,rabbit,ensembl
PDCL,PDCL,rabbit,ensembl
COL4A2,COL4A2,rabbit,ensembl
LRRN4,LRRN4,rabbit,ensembl
PPP4R3A,PPP4R3A,rabbit,ensembl
PPT1,PPT1,rabbit,ensembl
CCDC25,CCDC25,rabbit,ensembl
FBN1,FBN1,rabbit,ensembl
DENND2A,DENND2A,rabbit,ensembl
PHACTR2,PHACTR2,rabbit,ensembl
UBQLN4,UBQLN4,rabbit,ensembl
MAPK13,MAPK13,rabbit,ensembl
PLCB2,PLCB2,rabbit,ensembl
SPSB2,SPSB2,rabbit,ensembl
CRTAC1,CRTAC1,rabbit,ensembl
SLC35F4,SLC35F4,rabbit,ensembl
SND1,SND1,rabbit,ensembl
CDK6,CDK6,rabbit,ensembl
SH2B3,SH2B3,rabbit,ensembl
SAMD9L,SAMD9L,rabbit,ensembl
FLAD1,FLAD1,rabbit,ensembl
SPATA5L1,SPATA5L1,rabbit,ensembl
NDST4,NDST4,rabbit,ensembl
CES5A,CES5A,rabbit,ensembl
CLPTM1L,CLPTM1L,rabbit,ensembl
CNIH4,CNIH4,rabbit,ensembl
DYNLL1,DYNLL1,rabbit,ensembl
TOR1A,TOR1A,rabbit,ensembl
CHI3L1,CHI3L1,rabbit,ensembl
EIF3C,EIF3C,rabbit,ensembl
ARID1A,ARID1A,rabbit,ensembl
VPS36,VPS36,rabbit,ensembl
APC,APC,rabbit,ensembl
GIT2,GIT2,rabbit,ensembl
DOCK5,DOCK5,rabbit,ensembl
CEP41,CEP41,rabbit,ensembl
RAB34,RAB34,rabbit,ensembl
CRYM,CRYM,rabbit,ensembl
FSD2,FSD2,rabbit,ensembl
PDX1,PDX1,rabbit,ensembl
PPP4R1,PPP4R1,rabbit,ensembl
PIP4K2C,PIP4K2C,rabbit,ensembl
CDH19,CDH19,rabbit,ensembl
TAF12,TAF12,rabbit,ensembl
MOK,MOK,rabbit,ensembl
TAF15,TAF15,rabbit,ensembl
FAR1,FAR1,rabbit,ensembl
PLEKHG1,PLEKHG1,rabbit,ensembl
CREB1,CREB1,rabbit,ensembl
LSM1,STAR,rabbit,ensembl
SNW1,SNW1,rabbit,ensembl
GLRA3,GLRA3,rabbit,ensembl
ACE,ACE,rabbit,ensembl
ZNF292,ZNF292,rabbit,ensembl
LRRC8C,LRRC8C,rabbit,ensembl
MORC2,MORC2,rabbit,ensembl
GP1BA,GP1BA,rabbit,ensembl
CCNT1,CCNT1,rabbit,ensembl
USP8,USP8,rabbit,ensembl
TMEM263,TMEM263,rabbit,ensembl
MRPL38,MRPL38,rabbit,ensembl
SOX11,SOX11,rabbit,ensembl
LRRC2,LRRC2,rabbit,ensembl
ROR2,ROR2,rabbit,ensembl
GPR15,GPR15,rabbit,ensembl
MNAT1,MNAT1,rabbit,ensembl
MYO9B,MYO9B,rabbit,ensembl
THADA,THADA,rabbit,ensembl
MTMR6,MTMR6,rabbit,ensembl
APPL1,APPL1,rabbit,ensembl
ABCA1,ABCA1,rabbit,ensembl
DNAJB12,DNAJB12,rabbit,ensembl
CHD1,CHD1,rabbit,ensembl
PPIL1,PPIL1,rabbit,ensembl
EPB41L1,EPB41L1,rabbit,ensembl
KIF1B,KIF1B,rabbit,ensembl
EXT1,EXT1,rabbit,ensembl
DENND10,DENND10,rabbit,ensembl
KIF11,KIF11,rabbit,ensembl
VAV1,VAV1,rabbit,ensembl
RARS1,RARS1,rabbit,ensembl
GALC,GALC,rabbit,ensembl
ANXA1,ANXA1,rabbit,ensembl
USP10,USP10,rabbit,ensembl
ITGA1,ITGA1,rabbit,ensembl
PLAU,PLAU,rabbit,ensembl
RANGAP1,RANGAP1,rabbit,ensembl
CSPP1,CSPP1,rabbit,ensembl
SLC22A3,SLC22A3,rabbit,ensembl
PLIN2,PLIN2,rabbit,ensembl
C1QC,C1QC,rabbit,ensembl
FMOD,FMOD,rabbit,ensembl
MYO5C,MYO5C,rabbit,ensembl
POLR2C,POLR2C,rabbit,ensembl
SNU13,SNU13,rabbit,ensembl
POLR3D,POLR3D,rabbit,ensembl
CSAD,CSAD,rabbit,ensembl
SAR1B,SAR1B,rabbit,ensembl
SRP68,SRP68,rabbit,ensembl
NAGK,NAGK,rabbit,ensembl
CD44,CD44,rabbit,ensembl
FAN1,FAN1,rabbit,ensembl
SEMA3G,SEMA3G,rabbit,ensembl
BAG6,BAG6,rabbit,ensembl
SARNP,SARNP,rabbit,ensembl
ATP12A,ATP12A,rabbit,ensembl
CDHR3,CDHR3,rabbit,ensembl
PAPSS2,PAPSS2,rabbit,ensembl
HSDL2,HSDL2,rabbit,ensembl
NRP1,NRP1,rabbit,ensembl
STK17B,STK17B,rabbit,ensembl
MOV10L1,MOV10L1,rabbit,ensembl
ZNF217,ZNF217,rabbit,ensembl
PARP8,PARP8,rabbit,ensembl
PRKAG2,PRKAG2,rabbit,ensembl
TCERG1,TCERG1,rabbit,ensembl
FOXRED2,FOXRED2,rabbit,ensembl
SMARCA2,SMARCA2,rabbit,ensembl
PLA2G15,PLA2G15,rabbit,ensembl
EIF3H,EIF3H,rabbit,ensembl
LAMB2,LAMB2,rabbit,ensembl
CAMKV,CAMKV,rabbit,ensembl
TTI1,TTI1,rabbit,ensembl
PEX16,PEX16,rabbit,ensembl
NPC1L1,NPC1L1,rabbit,ensembl
OR5D13,OR5D13,rabbit,ensembl
CEP170,CEP170,rabbit,ensembl
SMAD4,SMAD4,rabbit,ensembl
MCM2,MCM2,rabbit,ensembl
SORL1,SORL1,rabbit,ensembl
NAE1,NAE1,rabbit,ensembl
TUBG1,TUBG1,rabbit,ensembl
TCP11L1,TCP11L1,rabbit,ensembl
ELF1,ELF1,rabbit,ensembl
ACOD1,ACOD1,rabbit,ensembl
ACAD9,ACAD9,rabbit,ensembl
PFKFB1,PFKFB1,rabbit,ensembl
TTLL11,TTLL11,rabbit,ensembl
GSK3B,GSK3B,rabbit,ensembl
DOCK4,DOCK4,rabbit,ensembl
FAM149A,FAM149A,rabbit,ensembl
TMEM63A,TMEM63A,rabbit,ensembl
KIAA0895L,KIAA0895L,rabbit,ensembl
HSPA4L,HSPA4L,rabbit,ensembl
ITIH5,ITIH5,rabbit,ensembl
LHCGR,LHCGR,rabbit,ensembl
MPPED2,MPPED2,rabbit,ensembl
DBI,DBI,rabbit,ensembl
CTNND1,CTNND1,rabbit,ensembl
EIF4E1B,EIF4E1B,rabbit,ensembl
SPAST,SPAST,rabbit,ensembl
ZFC3H1,ZFC3H1,rabbit,ensembl
ABRAXAS2,ABRAXAS2,rabbit,ensembl
GALNT6,GALNT6,rabbit,ensembl
S100A13,S100A13,rabbit,ensembl
PIP,PIP,rabbit,ensembl
AHCYL2,AHCYL2,rabbit,ensembl
NT5C,NT5C,rabbit,ensembl
MGAM,MGAM,rabbit,ensembl
PPAT,PPAT,rabbit,ensembl
CNKSR3,CNKSR3,rabbit,ensembl
RCBTB1,RCBTB1,rabbit,ensembl
HSPA2,HSPA2,rabbit,ensembl
YLPM1,YLPM1,rabbit,ensembl
PTPRD,PTPRD,rabbit,ensembl
UTRN,UTRN,rabbit,ensembl
DPM1,DPM1,rabbit,ensembl
CPPED1,CPPED1,rabbit,ensembl
LPAR1,LPAR1,rabbit,ensembl
DHRS4,DHRS4,rabbit,ensembl
CIC,CIC,rabbit,ensembl
FHIP2A,FHIP2A,rabbit,ensembl
SIDT1,SIDT1,rabbit,ensembl
NAT10,NAT10,rabbit,ensembl
TSTD1,TSTD1,rabbit,ensembl
UBE2Z,UBE2Z,rabbit,ensembl
TAF8,TAF8,rabbit,ensembl
SMAP2,SMAP2,rabbit,ensembl
NTPCR,NTPCR,rabbit,ensembl
LRRTM3,LRRTM3,rabbit,ensembl
FNIP2,FNIP2,rabbit,ensembl
LUC7L,LUC7L,rabbit,ensembl
GNAI1,GNAI1,rabbit,ensembl
C10orf71,C10orf71,rabbit,ensembl
CCDC196,CCDC196,rabbit,ensembl
ADAMTSL1,ADAMTSL1,rabbit,ensembl
SRPK1,SRPK1,rabbit,ensembl
VANGL1,VANGL1,rabbit,ensembl
RCSD1,RCSD1,rabbit,ensembl
RNF8,RNF8,rabbit,ensembl
DAB2IP,DAB2IP,rabbit,ensembl
E2F3,E2F3,rabbit,ensembl
LRRC74A,LRRC74A,rabbit,ensembl
TNPO3,TNPO3,rabbit,ensembl
MFN1,MFN1,rabbit,ensembl
CPB2,CPB2,rabbit,ensembl
PRKD2,PRKD2,rabbit,ensembl
MED13L,MED13L,rabbit,ensembl
STIM2,STIM2,rabbit,ensembl
ZC3H4,ZC3H4,rabbit,ensembl
FGD5,FGD5,rabbit,ensembl
SPATA48,SPATA48,rabbit,ensembl
DDR1,DDR1,rabbit,ensembl
ENTPD1,ENTPD1,rabbit,ensembl
FTSJ3,FTSJ3,rabbit,ensembl
OR5AS1,OR5AS1,rabbit,ensembl
UNC80,UNC80,rabbit,ensembl
SLC23A2,SLC23A2,rabbit,ensembl
CACNA1C,CACNA1C,rabbit,ensembl
GPRIN2,GPRIN2,rabbit,ensembl
METTL1,METTL1,rabbit,ensembl
IL17A,IL17A,rabbit,ensembl
RB1CC1,RB1CC1,rabbit,ensembl
RBM33,RBM33,rabbit,ensembl
DDX5,DDX5,rabbit,ensembl
LCA5L,LCA5L,rabbit,ensembl
RAD50,RAD50,rabbit,ensembl
SUMF2,SUMF2,rabbit,ensembl
FAT3,FAT3,rabbit,ensembl
OSBPL3,OSBPL3,rabbit,ensembl
SUGP2,SUGP2,rabbit,ensembl
USP43,USP43,rabbit,ensembl
TBL2,TBL2,rabbit,ensembl
POP1,POP1,rabbit,ensembl
NUCB2,NUCB2,rabbit,ensembl
ar,AR,rabbit,ensembl
COMMD3,COMMD3,rabbit,ensembl
LRIT1,LRIT1,rabbit,ensembl
BABAM2,BABAM2,rabbit,ensembl
RAC1,RAC1,rabbit,ensembl
TPR,TPR,rabbit,ensembl
SAFB,SAFB,rabbit,ensembl
GIMAP2,GIMAP2,rabbit,ensembl
CDC42BPA,CDC42BPA,rabbit,ensembl
INPP5B,INPP5B,rabbit,ensembl
ATXN7L1,ATXN7L1,rabbit,ensembl
HAT1,HAT1,rabbit,ensembl
MAN1A2,MAN1A2,rabbit,ensembl
MAPK3,MAPK3,rabbit,ensembl
GAREM1,GAREM1,rabbit,ensembl
CEP126,CEP126,rabbit,ensembl
ARL6IP6,ARL6IP6,rabbit,ensembl
CAPNS1,CAPNS1,rabbit,ensembl
KDM2B,KDM2B,rabbit,ensembl
PPP6R3,PPP6R3,rabbit,ensembl
AOC2,AOC2,rabbit,ensembl
SLC41A3,SLC41A3,rabbit,ensembl
PIGG,PIGG,rabbit,ensembl
HYPK,HYPK,rabbit,ensembl
CTBP2,CTBP2,rabbit,ensembl
LOXL2,LOXL2,rabbit,ensembl
SLC15A2,SLC15A2,rabbit,ensembl
SYMPK,SYMPK,rabbit,ensembl
HNRNPR,HNRNPR,rabbit,ensembl
MESD,MESD,rabbit,ensembl
RHOT1,RHOT1,rabbit,ensembl
TMED10,TMED10,rabbit,ensembl
FKBP1B,FKBP1B,rabbit,ensembl
IGF1R,IGF1R,rabbit,ensembl
ESYT3,ESYT3,rabbit,ensembl
NCAPD2,NCAPD2,rabbit,ensembl
ANK1,ANK1,rabbit,ensembl
VPS29,VPS29,rabbit,ensembl
ITGB6,ITGB6,rabbit,ensembl
CD14,CD14,rabbit,ensembl
PREB,PREB,rabbit,ensembl
CPQ,CPQ,rabbit,ensembl
ELAVL2,ELAVL2,rabbit,ensembl
QPCT,QPCT,rabbit,ensembl
EHBP1,EHBP1,rabbit,ensembl
neb,NEB,rabbit,ensembl
CTSS,CTSS,rabbit,ensembl
GATM,GATM,rabbit,ensembl
CFAP54,CFAP54,rabbit,ensembl
CASP3,CASP3,rabbit,ensembl
SUSD2,SUSD2,rabbit,ensembl
PKMYT1,PKMYT1,rabbit,ensembl
NUP153,NUP153,rabbit,ensembl
EMP3,EMP3,rabbit,ensembl
MRPS27,MRPS27,rabbit,ensembl
ZNF518B,ZNF518B,rabbit,ensembl
CDH11,CDH11,rabbit,ensembl
VWA5B1,VWA5B1,rabbit,ensembl
MYH4,MYH4,rabbit,ensembl
SSR1,SSR1,rabbit,ensembl
ERBB2,ERBB2,rabbit,ensembl
SHC1,SHC1,rabbit,ensembl
Rac1,RAC1,rabbit,ensembl
PECR,PECR,rabbit,ensembl
MANBA,MANBA,rabbit,ensembl
IKZF4,IKZF4,rabbit,ensembl
TMEM106B,TMEM106B,rabbit,ensembl
ITSN2,ITSN2,rabbit,ensembl
CHMP7,CHMP7,rabbit,ensembl
DBR1,DBR1,rabbit,ensembl
CLCC1,CLCC1,rabbit,ensembl
NR2C2,NR2C2,rabbit,ensembl
NCAPG,NCAPG,rabbit,ensembl
TAP1,TAP1,rabbit,ensembl
POR,POR,rabbit,ensembl
LNPEP,LNPEP,rabbit,ensembl
SELENBP1,SELENBP1,rabbit,ensembl
ACAA2,ACAA2,rabbit,ensembl
EFCC1,EFCC1,rabbit,ensembl
PPM1L,PPM1L,rabbit,ensembl
MACF1,MACF1,rabbit,ensembl
SAMD8,SAMD8,rabbit,ensembl
ARFGEF2,ARFGEF2,rabbit,ensembl
ACTA1,ACTA1,rabbit,ensembl
WWP2,WWP2,rabbit,ensembl
VPS37B,VPS37B,rabbit,ensembl
STAG3,STAG3,rabbit,ensembl
ACOX1,ACOX1,rabbit,ensembl
DHRS7,DHRS7,rabbit,ensembl
MTM1,MTM1,rabbit,ensembl
SMNDC1,SMNDC1,rabbit,ensembl
TBX20,TBX20,rabbit,ensembl
SPARC,SPARC,rabbit,ensembl
KIAA0513,KIAA0513,rabbit,ensembl
WDR82,WDR82,rabbit,ensembl
MON2,MON2,rabbit,ensembl
TRIR,TRIR,rabbit,ensembl
CRABP2,CRABP2,rabbit,ensembl
ERO1A,ERO1A,rabbit,ensembl
OGDHL,OGDHL,rabbit,ensembl
DIABLO,DIABLO,rabbit,ensembl
MECR,MECR,rabbit,ensembl
WAC,WAC,rabbit,ensembl
CCAR1,CCAR1,rabbit,ensembl
HSPBAP1,HSPBAP1,rabbit,ensembl
GYS1,GYS1,rabbit,ensembl
IGLON5,IGLON5,rabbit,ensembl
MTOR,MTOR,rabbit,ensembl
H2AC6,H2AC6,rabbit,ensembl
PRDX4,PRDX4,rabbit,ensembl
HHIP,HHIP,rabbit,ensembl
ABCB9,ABCB9,rabbit,ensembl
CAMSAP2,CAMSAP2,rabbit,ensembl
TSHZ1,TSHZ1,rabbit,ensembl
GRM5,GRM5,rabbit,ensembl
MPDZ,MPDZ,rabbit,ensembl
SNX6,SNX6,rabbit,ensembl
VIPR2,VIPR2,rabbit,ensembl
FCSK,FCSK,rabbit,ensembl
HIKESHI,HIKESHI,rabbit,ensembl
HECTD4,HECTD4,rabbit,ensembl
LINGO1,LINGO1,rabbit,ensembl
EML1,EML1,rabbit,ensembl
BID,BID,rabbit,ensembl
AXL,AXL,rabbit,ensembl
CDH13,CDH13,rabbit,ensembl
GALNS,GALNS,rabbit,ensembl
NDUFA6,NDUFA6,rabbit,ensembl
PSD,PSD,rabbit,ensembl
CEP83,CEP83,rabbit,ensembl
ADIPOQ,ADIPOQ,rabbit,ensembl
POLE3,POLE3,rabbit,ensembl
ZEB2,ZEB2,rabbit,ensembl
MSI1,MSI1,rabbit,ensembl
PGAM2,PGAM2,rabbit,ensembl
COL8A1,COL8A1,rabbit,ensembl
CTSV,CTSV,rabbit,ensembl
Creb1,CREB1,rabbit,ensembl
ABI3,ABI3,rabbit,ensembl
ARHGEF6,ARHGEF6,rabbit,ensembl
PDCD4,PDCD4,rabbit,ensembl
NME1,NME1,rabbit,ensembl
VPS52,VPS52,rabbit,ensembl
HSD11B1,HSD11B1,rabbit,ensembl
CRKL,CRKL,rabbit,ensembl
MAP4,MAP4,rabbit,ensembl
EFCAB1,CLXN,rabbit,ensembl
PCSK5,PCSK5,rabbit,ensembl
SUCLG1,SUCLG1,rabbit,ensembl
CASP10,CASP10,rabbit,ensembl
SH3PXD2B,SH3PXD2B,rabbit,ensembl
LATS2,LATS2,rabbit,ensembl
C1S,C1S,rabbit,ensembl
UBQLN2,UBQLN2,rabbit,ensembl
NAA30,NAA30,rabbit,ensembl
KATNA1,KATNA1,rabbit,ensembl
REV1,REV1,rabbit,ensembl
ADCY7,ADCY7,rabbit,ensembl
DTD1,DTD1,rabbit,ensembl
RRAGC,RRAGC,rabbit,ensembl
DENND4C,DENND4C,rabbit,ensembl
RRS1,RRS1,rabbit,ensembl
ANAPC1,ANAPC1,rabbit,ensembl
WASHC3,WASHC3,rabbit,ensembl
FAM199X,FAM199X,rabbit,ensembl
NEDD8,NEDD8,rabbit,ensembl
CEP128,CEP128,rabbit,ensembl
ATXN1L,ATXN1L,rabbit,ensembl
FES,FES,rabbit,ensembl
RAB11A,RAB11A,rabbit,ensembl
CAPN3,CAPN3,rabbit,ensembl
DHRS7B,DHRS7B,rabbit,ensembl
TEP1,TEP1,rabbit,ensembl
CTNS,CTNS,rabbit,ensembl
ABR,ABR,rabbit,ensembl
KLHL24,KLHL24,rabbit,ensembl
NEXMIF,NEXMIF,rabbit,ensembl
TBRG4,TBRG4,rabbit,ensembl
ARHGAP26,ARHGAP26,rabbit,ensembl
GLMP,GLMP,rabbit,ensembl
ZYX,ZYX,rabbit,ensembl
MATN2,MATN2,rabbit,ensembl
OMD,OMD,rabbit,ensembl
ELF2,ELF2,rabbit,ensembl
ATP11B,ATP11B,rabbit,ensembl
TSFM,TSFM,rabbit,ensembl
MEIS1,MEIS1,rabbit,ensembl
STOX1,STOX1,rabbit,ensembl
UBE3A,UBE3A,rabbit,ensembl
XPR1,XPR1,rabbit,ensembl
RAD23B,RAD23B,rabbit,ensembl
RNASE6,RNASE6,rabbit,ensembl
TATDN1,TATDN1,rabbit,ensembl
TRIML1,TRIML1,rabbit,ensembl
PPFIBP1,PPFIBP1,rabbit,ensembl
FDFT1,FDFT1,rabbit,ensembl
RAB44,RAB44,rabbit,ensembl
ADAMTS17,ADAMTS17,rabbit,ensembl
TSG101,TSG101,rabbit,ensembl
NELFE,NELFE,rabbit,ensembl
EXO1,EXO1,rabbit,ensembl
SLC25A12,SLC25A12,rabbit,ensembl
PACS2,PACS2,rabbit,ensembl
NFIL3,NFIL3,rabbit,ensembl
GRID2IP,GRID2IP,rabbit,ensembl
BZW2,BZW2,rabbit,ensembl
MMS22L,MMS22L,rabbit,ensembl
CORO6,CORO6,rabbit,ensembl
CEP72,CEP72,rabbit,ensembl
CNPY3,CNPY3,rabbit,ensembl
SLC39A9,SLC39A9,rabbit,ensembl
SMAP1,SMAP1,rabbit,ensembl
NCBP1,NCBP1,rabbit,ensembl
SLC44A4,SLC44A4,rabbit,ensembl
AAK1,AAK1,rabbit,ensembl
TWF2,TWF2,rabbit,ensembl
CYTH4,CYTH4,rabbit,ensembl
TFPT,TFPT,rabbit,ensembl
