Gene names,Gene names  (primary ),Status,Organism,Protein ID,Gene Names,Gene Names (primary),Reviewed
SYNE1,SYNE1,unreviewed,Homo sapiens (Human),A0A5F9ZH87,,,
OTUD7B;ZA20D1,OTUD7B,reviewed,Homo sapiens (Human),Q6GQQ9,,,
Mrpl55;Mrpl55_predicted;rCG_32716,Mrpl55,unreviewed,Rattus norvegicus (Rat),D3ZF99,,,
CSNK1A1,CSNK1A1,unreviewed,Homo sapiens (Human),E7ETM0,,,
PPP6C,PPP6C,unreviewed,Homo sapiens (Human),Q5T1S7,,,
MFSD8,MFSD8,unreviewed,Homo sapiens (Human),A0A286YFC6,,,
FBN1,FBN1,unreviewed,Homo sapiens (Human),H0YN80,,,
SF3B2,SF3B2,unreviewed,Homo sapiens (Human),E9PJT3,,,
Actn4,Actn4,reviewed,Rattus norvegicus (Rat),Q9QXQ0,,,
PGRMC2;DG6;PMBP,PGRMC2,reviewed,Homo sapiens (Human),O15173,,,
NCAPG,NCAPG,unreviewed,Homo sapiens (Human),D6RA93,,,
RAP1GDS1,RAP1GDS1,unreviewed,Homo sapiens (Human),D6RHZ7,,,
BLVRA,BLVRA,unreviewed,Homo sapiens (Human),C9J1E1,,,
SLC44A2,SLC44A2,unreviewed,Homo sapiens (Human),K7EMR2,,,
GMPPA,GMPPA,unreviewed,Homo sapiens (Human),C9JAH0,,,
MSH6,MSH6,unreviewed,Homo sapiens (Human),C9J8Y8,,,
AP2S1;AP17;CLAPS2,AP2S1,reviewed,Homo sapiens (Human),P53680,,,
PSMA6,PSMA6,unreviewed,Homo sapiens (Human),G3V4S5,,,
ACTR3,ACTR3,unreviewed,Homo sapiens (Human),F8WDR7,,,
CIAPIN1;CUA001;PRO0915,CIAPIN1,reviewed,Homo sapiens (Human),Q6FI81,,,
MSMO1,MSMO1,unreviewed,Homo sapiens (Human),D6RDP9,,,
C17orf49,C17orf49,unreviewed,Homo sapiens (Human),F8W038,,,
GEMIN5,GEMIN5,reviewed,Homo sapiens (Human),Q8TEQ6,,,
Smc1a;Smc1;Smc1l1,Smc1a,reviewed,Rattus norvegicus (Rat),Q9Z1M9,,,
TAP2,TAP2,unreviewed,Homo sapiens (Human),A0A0G2JLV0,,,
NCSTN,NCSTN,unreviewed,Homo sapiens (Human),A0A2U3TZL9,,,
NFIX,NFIX,reviewed,Homo sapiens (Human),Q14938,,,
CLTA,CLTA,unreviewed,Homo sapiens (Human),F8WF69,,,
ARFGAP2,ARFGAP2,unreviewed,Homo sapiens (Human),E9PMU9,,,
PRC1,PRC1,unreviewed,Homo sapiens (Human),H0YLA0,,,
Clns1a;rCG_39971,Clns1a,unreviewed,Rattus norvegicus (Rat),Q6P9X1,,,
ZC3HC1,ZC3HC1,unreviewed,Homo sapiens (Human),C9J0I9,,,
MTAP,MTAP,unreviewed,Homo sapiens (Human),B4DUC8,,,
ACP2,ACP2,unreviewed,Homo sapiens (Human),A0A5F9ZH40,,,
NAALADL1,NAALADL1,unreviewed,Homo sapiens (Human),E9PLR8,,,
HMGXB4,HMGXB4,unreviewed,Homo sapiens (Human),F8WDU7,,,
PPIG,PPIG,reviewed,Homo sapiens (Human),Q13427,,,
DOCK10;KIAA0694;ZIZ3,DOCK10,reviewed,Homo sapiens (Human),Q96BY6,,,
ARPC3,ARPC3,unreviewed,Homo sapiens (Human),F8VR50,,,
CENPE,CENPE,unreviewed,Homo sapiens (Human),D6RHK2,,,
SEPTIN8,SEPTIN8,unreviewed,Homo sapiens (Human),C9JV02,,,
Ndufa6;Ndufa6_predicted;rCG_59408,Ndufa6,unreviewed,Rattus norvegicus (Rat),D4A3V2,,,
FLII,FLII,unreviewed,Homo sapiens (Human),K7EP37,,,
ABRAXAS2;ABRO1;FAM175B;KIAA0157,ABRAXAS2,reviewed,Homo sapiens (Human),Q15018,,,
ZFYVE19;ANCHR;MPFYVE,ZFYVE19,reviewed,Homo sapiens (Human),Q96K21,,,
GNB2,GNB2,unreviewed,Homo sapiens (Human),E7EP32,,,
PELP1,PELP1,unreviewed,Homo sapiens (Human),I3L445,,,
Phf5a;Ini,Phf5a,reviewed,Rattus norvegicus (Rat),P83871,,,
ARHGEF11;KIAA0380,ARHGEF11,reviewed,Homo sapiens (Human),O15085,,,
PAM,PAM,reviewed,Homo sapiens (Human),P19021,,,
DNPEP;ASPEP;DAP,DNPEP,reviewed,Homo sapiens (Human),Q9ULA0,,,
Golga7,Golga7,reviewed,Rattus norvegicus (Rat),Q6AYQ1,,,
SET,SET,unreviewed,Homo sapiens (Human),B2REB7,,,
PTPRK,PTPRK,unreviewed,Homo sapiens (Human),H0YDP9,,,
DLG1,DLG1,unreviewed,Homo sapiens (Human),A0A590UJ08,,,
TAF1C,TAF1C,unreviewed,Homo sapiens (Human),H3BNH3,,,
PSAT1;PSA,PSAT1,reviewed,Homo sapiens (Human),Q9Y617,,,
AP2A2,AP2A2,unreviewed,Homo sapiens (Human),H0YEG0,,,
LMBRD1;C6orf209;NESI;BM-021;CD001;MSTP044,LMBRD1,reviewed,Homo sapiens (Human),Q9NUN5,,,
DAZAP1,DAZAP1,reviewed,Homo sapiens (Human),Q96EP5,,,
,,,,C9JV99,,,
CTBP1;CTBP,CTBP1,reviewed,Homo sapiens (Human),Q13363,,,
RRP8;KIAA0409;NML;hucep-1,RRP8,reviewed,Homo sapiens (Human),O43159,,,
B4GALT1;GGTB2,B4GALT1,reviewed,Homo sapiens (Human),P15291,,,
CHPF2,CHPF2,unreviewed,Homo sapiens (Human),H7C5L5,,,
Commd1;rCG_23272,Commd1,unreviewed,Rattus norvegicus (Rat),B0BNB1,,,
ATG2B;C14orf103,ATG2B,reviewed,Homo sapiens (Human),Q96BY7,,,
RNASEH2B,RNASEH2B,unreviewed,Homo sapiens (Human),A0A2R8Y7A3,,,
CSNK1A1,CSNK1A1,unreviewed,Homo sapiens (Human),D6REM4,,,
RDX,RDX,unreviewed,Homo sapiens (Human),E9PKN5,,,
PEX16,PEX16,unreviewed,Homo sapiens (Human),E9PLS4,,,
VPS11;RNF108;PP3476,VPS11,reviewed,Homo sapiens (Human),Q9H270,,,
NAP1L1,NAP1L1,unreviewed,Homo sapiens (Human),F5H4R6,,,
PRMT1,PRMT1,unreviewed,Homo sapiens (Human),E9PMZ2,,,
PGLS,PGLS,unreviewed,Homo sapiens (Human),M0R1L2,,,
AP1S2,AP1S2,unreviewed,Homo sapiens (Human),A6NH01,,,
ENO1;ENO1L1;MBPB1;MPB1,ENO1,reviewed,Homo sapiens (Human),P06733,,,
STXBP1,STXBP1,unreviewed,Homo sapiens (Human),A0A1B0GWF2,,,
G3BP2,G3BP2,unreviewed,Homo sapiens (Human),D6RAC7,,,
TCEA1,TCEA1,unreviewed,Homo sapiens (Human),A0A1W2PPV7,,,
,,,,H9KVD3,,,
EPS15L1,EPS15L1,unreviewed,Homo sapiens (Human),M0R3I1,,,
NDUFAF7,NDUFAF7,unreviewed,Homo sapiens (Human),B4E0W7,,,
BST1,BST1,unreviewed,Homo sapiens (Human),H0Y9Q9,,,
PRKAG2,PRKAG2,unreviewed,Homo sapiens (Human),A0A494C1K7,,,
NPLOC4,NPLOC4,unreviewed,Homo sapiens (Human),I3L283,,,
EXOSC2,EXOSC2,unreviewed,Homo sapiens (Human),A3KFL2,,,
CCDC88A,CCDC88A,unreviewed,Homo sapiens (Human),A0A2R8Y7D9,,,
ASAH1,ASAH1,unreviewed,Homo sapiens (Human),A0A1B0GVE7,,,
EDC3,EDC3,unreviewed,Homo sapiens (Human),H3BTD6,,,
PDE4DIP,PDE4DIP,unreviewed,Homo sapiens (Human),H0YCY0,,,
AKAP8L;hCG_36782,AKAP8L,unreviewed,Homo sapiens (Human),V9GZ50,,,
NDUFA6;LYRM6;NADHB14,NDUFA6,reviewed,Homo sapiens (Human),P56556,,,
STX2,STX2,unreviewed,Homo sapiens (Human),J3KNU7,,,
HMBS;PBGD;UPS,HMBS,reviewed,Homo sapiens (Human),P08397,,,
UROD,UROD,unreviewed,Homo sapiens (Human),A0A1B0GVN9,,,
Ube2d1,Ube2d1,reviewed,Rattus norvegicus (Rat),D3ZDK2,,,
Hnrnpl;Fblim1,Hnrnpl,reviewed,Rattus norvegicus (Rat),F1LQ48,,,
CELF1,CELF1,unreviewed,Homo sapiens (Human),E9PKA1,,,
AP1M2,AP1M2,unreviewed,Homo sapiens (Human),K7ERH5,,,
DIPK2A;C3orf58;DIA1,DIPK2A,reviewed,Homo sapiens (Human),Q8NDZ4,,,
ATP5ME;ATP5I;ATP5K,ATP5ME,reviewed,Homo sapiens (Human),P56385,,,
ACADVL,ACADVL,unreviewed,Homo sapiens (Human),J3KS89,,,
Ptpn11,Ptpn11,reviewed,Rattus norvegicus (Rat),P41499,,,
,,unreviewed,Homo sapiens (Human),E7ENX8,,,
NIBAN1;C1orf24;FAM129A;NIBAN;GIG39,NIBAN1,reviewed,Homo sapiens (Human),Q9BZQ8,,,
ENY2;DC6,ENY2,reviewed,Homo sapiens (Human),Q9NPA8,,,
GOLT1B;hCG_25051,GOLT1B,unreviewed,Homo sapiens (Human),G3V1U5,,,
GNB3,GNB3,unreviewed,Homo sapiens (Human),F5H100,,,
TXNL1,TXNL1,unreviewed,Homo sapiens (Human),K7ER96,,,
NPC2;HE1,NPC2,reviewed,Homo sapiens (Human),P61916,,,
PSMB8;PSM8,PSMB8,unreviewed,Homo sapiens (Human),X5D2R7,,,
DNAAF5,DNAAF5,unreviewed,Homo sapiens (Human),E9PGY2,,,
Prkaca;rCG_51506,Prkaca,unreviewed,Rattus norvegicus (Rat),A1L1M0,,,
Mlph,Mlph,unreviewed,Rattus norvegicus (Rat),G3V8M0,,,
POLDIP3,POLDIP3,unreviewed,Homo sapiens (Human),Q8WUT1,,,
ACAT1,ACAT1,unreviewed,Homo sapiens (Human),A0A5F9ZHH9,,,
Vcan;Cspg2,Vcan,reviewed,Rattus norvegicus (Rat),Q9ERB4,,,
DDX24,DDX24,unreviewed,Homo sapiens (Human),F5GYL3,,,
LONP1,LONP1,unreviewed,Homo sapiens (Human),K7ER27,,,
Ythdf3;Ythdf3_predicted;rCG_41303,Ythdf3,unreviewed,Rattus norvegicus (Rat),D3ZIY3,,,
SEPTIN10;SEPT10,SEPTIN10,reviewed,Homo sapiens (Human),Q9P0V9,,,
,,,,A0A0C4DGY7,,,
MYL6,MYL6,unreviewed,Homo sapiens (Human),F8VPF3,,,
TCP1,TCP1,unreviewed,Homo sapiens (Human),F5H7Y1,,,
CNOT1,CNOT1,unreviewed,Homo sapiens (Human),H3BT18,,,
NARS1;NARS;NRS,NARS1,reviewed,Homo sapiens (Human),O43776,,,
USP8;KIAA0055;UBPY,USP8,reviewed,Homo sapiens (Human),P40818,,,
TMED1,TMED1,unreviewed,Homo sapiens (Human),K7EQ63,,,
SNAP23,SNAP23,unreviewed,Homo sapiens (Human),H3BP15,,,
SMPD1;hCG_24080,SMPD1,unreviewed,Homo sapiens (Human),G3V1E1,,,
RHOT1;ARHT1,RHOT1,reviewed,Homo sapiens (Human),Q8IXI2,,,
OPA1,OPA1,unreviewed,Homo sapiens (Human),A0A2R8Y5E2,,,
ANK2,ANK2,unreviewed,Homo sapiens (Human),A0A5F9ZI73,,,
CPT2,CPT2,unreviewed,Homo sapiens (Human),A0A1B0GWC0,,,
FSTL1,FSTL1,unreviewed,Homo sapiens (Human),H7C4W4,,,
SEPTIN11,SEPTIN11,unreviewed,Homo sapiens (Human),D6RDU5,,,
CDH11,CDH11,unreviewed,Homo sapiens (Human),H3BUU9,,,
ANK2,ANK2,unreviewed,Homo sapiens (Human),A0A5F9ZGX3,,,
ANXA6,ANXA6,unreviewed,Homo sapiens (Human),E5RI05,,,
,,,,A0A5F9ZHG4,,,
NLE1,NLE1,unreviewed,Homo sapiens (Human),K7EN33,,,
PTMA;TMSA,PTMA,reviewed,Homo sapiens (Human),P06454,,,
CALCOCO1,CALCOCO1,unreviewed,Homo sapiens (Human),F8VRQ9,,,
RUVBL2,RUVBL2,unreviewed,Homo sapiens (Human),M0R0Y3,,,
RTN1;NSP,RTN1,reviewed,Homo sapiens (Human),Q16799,,,
PDLIM5,PDLIM5,unreviewed,Homo sapiens (Human),A0A0D9SFR4,,,
RPS25,RPS25,unreviewed,Homo sapiens (Human),E9PQK3,,,
ATG4B,ATG4B,unreviewed,Homo sapiens (Human),C9J1C1,,,
SWAP70,SWAP70,unreviewed,Homo sapiens (Human),E7EMB1,,,
MAP4,MAP4,unreviewed,Homo sapiens (Human),E7EVA0,,,
Jak1;rCG_53517,Jak1,unreviewed,Rattus norvegicus (Rat),G3V9W2,,,
NOP2,NOP2,unreviewed,Homo sapiens (Human),F5GYR3,,,
SNX29;RUNDC2A,SNX29,reviewed,Homo sapiens (Human),Q8TEQ0,,,
RPAP3,RPAP3,reviewed,Homo sapiens (Human),Q9H6T3,,,
CNDP2,CNDP2,unreviewed,Homo sapiens (Human),J3QRH4,,,
GPN1;MBDIN;RPAP4;XAB1;HUSSY-23,GPN1,reviewed,Homo sapiens (Human),Q9HCN4,,,
RNF20;BRE1A,RNF20,reviewed,Homo sapiens (Human),Q5VTR2,,,
CHCHD2P9;C9orf49;CHCHD9,CHCHD2P9,reviewed,Homo sapiens (Human),Q5T1J5,,,
RPS15,RPS15,unreviewed,Homo sapiens (Human),K7ELC2,,,
CLTA,CLTA,reviewed,Homo sapiens (Human),P09496,,,
ME2,ME2,unreviewed,Homo sapiens (Human),A0A1W2PQF8,,,
Tgm2,Tgm2,reviewed,Rattus norvegicus (Rat),Q9WVJ6,,,
ATP5MK;ATP5MD;DAPIT;HCVFTP2;USMG5;PD04912,ATP5MK,reviewed,Homo sapiens (Human),Q96IX5,,,
Acta2,Acta2,unreviewed,Rattus norvegicus (Rat),A0A0G2K4M6,,,
Srsf9;Sfrs9,Srsf9,reviewed,Rattus norvegicus (Rat),Q5PPI1,,,
PRRC2C,PRRC2C,unreviewed,Homo sapiens (Human),A0A0A0MS30,,,
PEX3,PEX3,reviewed,Homo sapiens (Human),P56589,,,
ACSL1,ACSL1,unreviewed,Homo sapiens (Human),B7Z3Z9,,,
EEF1D,EEF1D,unreviewed,Homo sapiens (Human),A0A0J9YXU2,,,
LAPTM4A;KIAA0108;LAPTM4;MBNT;MTRP;UNQ1846/PRO3574,LAPTM4A,reviewed,Homo sapiens (Human),Q15012,,,
CLINT1,CLINT1,unreviewed,Homo sapiens (Human),H0YDU9,,,
PPM1F;hCG_26717,PPM1F,unreviewed,Homo sapiens (Human),B5MCT7,,,
SCRN3,SCRN3,unreviewed,Homo sapiens (Human),C9JNS3,,,
FSCN1,FSCN1,unreviewed,Homo sapiens (Human),C9JPH9,,,
VPS33A,VPS33A,unreviewed,Homo sapiens (Human),A0A2R8Y5U3,,,
AP2B1,AP2B1,unreviewed,Homo sapiens (Human),K7ERB2,,,
Nxn;Nxn_predicted;rCG_34708,Nxn,unreviewed,Rattus norvegicus (Rat),D4A0M2,,,
Exoc4,Exoc4,unreviewed,Rattus norvegicus (Rat),M0RBF8,,,
CLN3,CLN3,unreviewed,Homo sapiens (Human),A0A1B0GV71,,,
BAG6,BAG6,unreviewed,Homo sapiens (Human),F6UR09,,,
SFT2D2,SFT2D2,unreviewed,Homo sapiens (Human),Q5TIH2,,,
P3H1;GROS1;LEPRE1;PSEC0109,P3H1,reviewed,Homo sapiens (Human),Q32P28,,,
QPCTL,QPCTL,reviewed,Homo sapiens (Human),Q9NXS2,,,
EIF3C,EIF3C,unreviewed,Homo sapiens (Human),H3BPE4,,,
RNF40;BRE1B;KIAA0661,RNF40,reviewed,Homo sapiens (Human),O75150,,,
UBE2Z,UBE2Z,unreviewed,Homo sapiens (Human),D6RB11,,,
ESYT2;FAM62B;KIAA1228,ESYT2,reviewed,Homo sapiens (Human),A0FGR8,,,
NME1,NME1,unreviewed,Homo sapiens (Human),C9K028,,,
SCFD1,SCFD1,unreviewed,Homo sapiens (Human),G3V4I1,,,
ASCC1,ASCC1,unreviewed,Homo sapiens (Human),A0A5K1VW55,,,
KRAS,KRAS,unreviewed,Homo sapiens (Human),G3V4K2,,,
TRMT1,TRMT1,unreviewed,Homo sapiens (Human),K7ENI9,,,
NUP93,NUP93,unreviewed,Homo sapiens (Human),H3BPA9,,,
AIMP2,AIMP2,unreviewed,Homo sapiens (Human),A8MU58,,,
ARFGAP2,ARFGAP2,unreviewed,Homo sapiens (Human),E9PM18,,,
CPPED1;CSTP1,CPPED1,reviewed,Homo sapiens (Human),Q9BRF8,,,
NTMT1,NTMT1,unreviewed,Homo sapiens (Human),S4R338,,,
EEF1B2,EEF1B2,unreviewed,Homo sapiens (Human),F2Z2G2,,,
PTPRM,PTPRM,unreviewed,Homo sapiens (Human),J3KT55,,,
ATP5PO,ATP5PO,unreviewed,Homo sapiens (Human),A0A494C0K9,,,
RPL17,RPL17,reviewed,Homo sapiens (Human),P18621,,,
Dcaf7;LOC100361861;Wdr68;Wdr68_predicted;rCG_34081,Dcaf7,unreviewed,Rattus norvegicus (Rat),B2RZ68,,,
RELCH,RELCH,unreviewed,Homo sapiens (Human),A0A2R8Y566,,,
SRSF2;SFRS2,SRSF2,reviewed,Homo sapiens (Human),Q01130,,,
SPNS1;SPIN1;PP20300,SPNS1,reviewed,Homo sapiens (Human),Q9H2V7,,,
UBXN1,UBXN1,unreviewed,Homo sapiens (Human),E9PRQ7,,,
PMFBP1,PMFBP1,unreviewed,Homo sapiens (Human),F5H4F8,,,
TRAM1;TRAM,TRAM1,reviewed,Homo sapiens (Human),Q15629,,,
ZNF622;ZPR9,ZNF622,reviewed,Homo sapiens (Human),Q969S3,,,
LOC688828;rCG_25662,LOC688828,unreviewed,Rattus norvegicus (Rat),D3ZKZ6,,,
TARS2;TARSL1,TARS2,reviewed,Homo sapiens (Human),Q9BW92,,,
Myl9;Myl9_predicted;rCG_37420,Myl9,unreviewed,Rattus norvegicus (Rat),B0BMS8,,,
Eif1b;Eif1b_predicted;rCG_25057,Eif1b,unreviewed,Rattus norvegicus (Rat),B5DFN1,,,
Flot2;rCG_35041,Flot2,unreviewed,Rattus norvegicus (Rat),Q5XIW9,,,
RACK1,RACK1,unreviewed,Homo sapiens (Human),E9PD14,,,
TRIM26;RNF95;ZNF173,TRIM26,reviewed,Homo sapiens (Human),Q12899,,,
CSNK1D;HCKID,CSNK1D,reviewed,Homo sapiens (Human),P48730,,,
DYNC1LI2,DYNC1LI2,unreviewed,Homo sapiens (Human),B4E2E0,,,
DCLK1,DCLK1,unreviewed,Homo sapiens (Human),Q5VZY9,,,
APOB,APOB,unreviewed,Homo sapiens (Human),A8MUN2,,,
NCALD,NCALD,unreviewed,Homo sapiens (Human),E5RI95,,,
UBTF;UBF;UBF1,UBTF,reviewed,Homo sapiens (Human),P17480,,,
VAT1,VAT1,unreviewed,Homo sapiens (Human),K7ERT7,,,
TJP2;X104;ZO2,TJP2,reviewed,Homo sapiens (Human),Q9UDY2,,,
CSNK1A1,CSNK1A1,unreviewed,Homo sapiens (Human),A0A590UJQ7,,,
ATG7;APG7L,ATG7,reviewed,Homo sapiens (Human),O95352,,,
APEX1,APEX1,unreviewed,Homo sapiens (Human),A0A0C4DGK8,,,
PTK2,PTK2,unreviewed,Homo sapiens (Human),E5RG54,,,
Ring1;Rnf1,Ring1,reviewed,Rattus norvegicus (Rat),Q6MGB6,,,
SYNE1,SYNE1,unreviewed,Homo sapiens (Human),F5H422,,,
UBE2H,UBE2H,unreviewed,Homo sapiens (Human),C9JZY6,,,
LCLAT1,LCLAT1,unreviewed,Homo sapiens (Human),C9J5S5,,,
DCAF7;HAN11;WDR68,DCAF7,reviewed,Homo sapiens (Human),P61962,,,
RPL18,RPL18,unreviewed,Homo sapiens (Human),H0YHA7,,,
CS,CS,unreviewed,Homo sapiens (Human),B4DJV2,,,
CCDC80;DRO1;URB;HBE245,CCDC80,reviewed,Homo sapiens (Human),Q76M96,,,
ME2,ME2,reviewed,Homo sapiens (Human),P23368,,,
MCCC2;hCG_37849,MCCC2,unreviewed,Homo sapiens (Human),D6R9R1,,,
Hacd2,Hacd2,unreviewed,Rattus norvegicus (Rat),D3ZHG0,,,
EIF3H,EIF3H,unreviewed,Homo sapiens (Human),E5RHC7,,,
EXOC3L4;C14orf73,EXOC3L4,reviewed,Homo sapiens (Human),Q17RC7,,,
CAPNS1,CAPNS1,unreviewed,Homo sapiens (Human),A0A075B7C0,,,
GFM1;EFG;EFG1;GFM,GFM1,reviewed,Homo sapiens (Human),Q96RP9,,,
GIT2,GIT2,unreviewed,Homo sapiens (Human),F8WAK2,,,
IMPACT,IMPACT,unreviewed,Homo sapiens (Human),J3QQU0,,,
Dhx15;Dhx15_predicted;LOC100910750;rCG_35948,Dhx15,unreviewed,Rattus norvegicus (Rat),D3ZD97,,,
Rprd1b,Rprd1b,unreviewed,Rattus norvegicus (Rat),B5DEK0,,,
SGSH,SGSH,unreviewed,Homo sapiens (Human),I3L2L4,,,
MRPL28;MAAT1,MRPL28,reviewed,Homo sapiens (Human),Q13084,,,
ZC3HAV1,ZC3HAV1,unreviewed,Homo sapiens (Human),C9J6P4,,,
Ube2d3,Ube2d3,unreviewed,Rattus norvegicus (Rat),A0A0G2JV72,,,
Pycr3;Pycrl,Pycr3,reviewed,Rattus norvegicus (Rat),Q5PQJ6,,,
AEBP1,AEBP1,unreviewed,Homo sapiens (Human),H7C3D7,,,
ASNS,ASNS,unreviewed,Homo sapiens (Human),F8WEJ5,,,
Adss;ADSS;ADSS2;Adss_predicted;rCG_20425,Adss,unreviewed,Rattus norvegicus (Rat),D4AEP0,,,
GPX8,GPX8,unreviewed,Homo sapiens (Human),J3KNB5,,,
NAGLU,NAGLU,unreviewed,Homo sapiens (Human),K7ENX5,,,
PIK3R1,PIK3R1,unreviewed,Homo sapiens (Human),E5RHI0,,,
ITGA1,ITGA1,unreviewed,Homo sapiens (Human),A0A494C0F7,,,
SMARCA4,SMARCA4,unreviewed,Homo sapiens (Human),A0A2R8Y7R0,,,
Ndst1;Hsst;Hsst1;Ndanst,Ndst1,reviewed,Rattus norvegicus (Rat),Q02353,,,
RBM25;RNPC7,RBM25,reviewed,Homo sapiens (Human),P49756,,,
MRPL4;CDABP0091;CGI-28,MRPL4,reviewed,Homo sapiens (Human),Q9BYD3,,,
TMEM167B,TMEM167B,unreviewed,Homo sapiens (Human),A0A494C0V7,,,
RELA,RELA,unreviewed,Homo sapiens (Human),E9PKH5,,,
EIF4A3;DDX48;KIAA0111,EIF4A3,reviewed,Homo sapiens (Human),P38919,,,
EIF5B;IF2;KIAA0741,EIF5B,reviewed,Homo sapiens (Human),O60841,,,
Srr,Srr,unreviewed,Rattus norvegicus (Rat),A0A0U1RRW0,,,
TFIP11,TFIP11,unreviewed,Homo sapiens (Human),F6SQZ1,,,
EIF4B,EIF4B,unreviewed,Homo sapiens (Human),F8VRU1,,,
PPP2R1A,PPP2R1A,unreviewed,Homo sapiens (Human),E9PH38,,,
INTS9,INTS9,unreviewed,Homo sapiens (Human),H0YBK3,,,
JPT1;ARM2;HN1,JPT1,reviewed,Homo sapiens (Human),Q9UK76,,,
HMGB3;HMG2A;HMG4,HMGB3,reviewed,Homo sapiens (Human),O15347,,,
MRPS7,MRPS7,unreviewed,Homo sapiens (Human),J3KSI8,,,
RPS23,RPS23,unreviewed,Homo sapiens (Human),D6RIX0,,,
SCAMP2,SCAMP2,unreviewed,Homo sapiens (Human),H3BV04,,,
MPDU1,MPDU1,unreviewed,Homo sapiens (Human),I3L1D2,,,
TXNRD1,TXNRD1,unreviewed,Homo sapiens (Human),F8W809,,,
RPTOR;KIAA1303;RAPTOR,RPTOR,reviewed,Homo sapiens (Human),Q8N122,,,
RPRD1A,RPRD1A,unreviewed,Homo sapiens (Human),K7EQR8,,,
TSG101,TSG101,reviewed,Homo sapiens (Human),Q99816,,,
LPCAT1,LPCAT1,unreviewed,Homo sapiens (Human),A0A0G2JQ62,,,
Rras2,Rras2,unreviewed,Rattus norvegicus (Rat),A0A0G2K508,,,
,,unreviewed,Rattus norvegicus (Rat),A0A0G2K8S2,,,
WDR48;KIAA1449;UAF1,WDR48,reviewed,Homo sapiens (Human),Q8TAF3,,,
LDAH,LDAH,unreviewed,Homo sapiens (Human),B5MCU4,,,
LEMD2,LEMD2,unreviewed,Homo sapiens (Human),D6R958,,,
TVP23C-CDRT4;TVP23C,TVP23C-CDRT4,unreviewed,Homo sapiens (Human),E5RGC5,,,
VAT1,VAT1,unreviewed,Homo sapiens (Human),K7ER81,,,
PIGG;GPI7;UNQ1930/PRO4405,PIGG,reviewed,Homo sapiens (Human),Q5H8A4,,,
BST1,BST1,reviewed,Homo sapiens (Human),Q10588,,,
BIN3,BIN3,reviewed,Homo sapiens (Human),Q9NQY0,,,
WDR55;hCG_1782892,WDR55,unreviewed,Homo sapiens (Human),G3V1J0,,,
Ifi47,Ifi47,unreviewed,Rattus norvegicus (Rat),E9PU10,,,
CD151,CD151,unreviewed,Homo sapiens (Human),E9PSA1,,,
CCS,CCS,unreviewed,Homo sapiens (Human),E9PP76,,,
Fip1l1,Fip1l1,unreviewed,Rattus norvegicus (Rat),A0A0G2K376,,,
PLOD2,PLOD2,unreviewed,Homo sapiens (Human),F8WEW3,,,
THOC5;C22orf19;KIAA0983,THOC5,reviewed,Homo sapiens (Human),Q13769,,,
PDHA1,PDHA1,unreviewed,Homo sapiens (Human),Q5JPU0,,,
PCK2,PCK2,unreviewed,Homo sapiens (Human),H0YMA5,,,
EIF3E,EIF3E,unreviewed,Homo sapiens (Human),E5RII3,,,
RAB27A,RAB27A,unreviewed,Homo sapiens (Human),H3BU81,,,
,,unreviewed,Rattus norvegicus (Rat),A0A0G2K8K4,,,
NONO,NONO,unreviewed,Homo sapiens (Human),C9JJ13,,,
GLTP,GLTP,unreviewed,Homo sapiens (Human),F5GZ49,,,
ATP1B3,ATP1B3,unreviewed,Homo sapiens (Human),H7C547,,,
SNX27;KIAA0488;My014,SNX27,reviewed,Homo sapiens (Human),Q96L92,,,
CPNE3,CPNE3,unreviewed,Homo sapiens (Human),A0A087WYQ3,,,
PA2G4,PA2G4,unreviewed,Homo sapiens (Human),F8VR77,,,
BBS2,BBS2,reviewed,Homo sapiens (Human),Q9BXC9,,,
ATP1B3,ATP1B3,unreviewed,Homo sapiens (Human),C9J6S2,,,
RIC8A,RIC8A,unreviewed,Homo sapiens (Human),E9PLE5,,,
EWSR1,EWSR1,unreviewed,Homo sapiens (Human),A0A0D9SFL3,,,
RBBP7,RBBP7,unreviewed,Homo sapiens (Human),Q5JP01,,,
TMEM175,TMEM175,reviewed,Homo sapiens (Human),Q9BSA9,,,
PIP4K2A,PIP4K2A,unreviewed,Homo sapiens (Human),H7BXS3,,,
PGM2L1;BM32A,PGM2L1,reviewed,Homo sapiens (Human),Q6PCE3,,,
Prps1,Prps1,reviewed,Rattus norvegicus (Rat),P60892,,,
SEC62,SEC62,unreviewed,Homo sapiens (Human),F8WCJ7,,,
PKN1,PKN1,unreviewed,Homo sapiens (Human),K7EL10,,,
TPM2,TPM2,unreviewed,Homo sapiens (Human),Q5TCU3,,,
SCFD1,SCFD1,unreviewed,Homo sapiens (Human),G3V2M8,,,
CD59;MIC11;MIN1;MIN2;MIN3;MSK21,CD59,reviewed,Homo sapiens (Human),P13987,,,
GRWD1;GRWD;KIAA1942;WDR28,GRWD1,reviewed,Homo sapiens (Human),Q9BQ67,,,
SMG1,SMG1,unreviewed,Homo sapiens (Human),H3BQN7,,,
MTHFR,MTHFR,unreviewed,Homo sapiens (Human),A0A286YF47,,,
,,reviewed,Homo sapiens (Human),Q6ZSR9,,,
TMEM115;PL6;LUCA11.2,TMEM115,reviewed,Homo sapiens (Human),Q12893,,,
